name,price,stock,preparation_info,description,image_url,parent_stock_group,stock_weight
Mørbrad,310,4,52-54°C (25-35 min v. 180°C),Koens møreste muskel. Fedtfri og eksklusiv.,/moerbrad.jpg,mørbrad,
Flat Iron,140,4,54-56°C (3-4 min pr. side),"Meget mør ""skjult"" perle fra boven. Intens smag.",/flat.jpg,flat iron,
Ribeye,250,24,54-56°C (3-4 min pr. side v. høj varme),"""Hjertet"" af højrebbet. Kraftig marmorering og fedtøje. Maksimal saftighed og smag.",/ribeye.jpg,hoejreb,1
Entrecote,240,24,54-56°C (3-4 min pr. side v. høj varme),Den klassiske bøf. Inkluderer ofte lidt mere af de ydre muskler end ribeyen. Perfekt balance.,/entrecote.jpg,hoejreb,1
Højrebssteg,210,4,56-58°C (Ca. 15 min pr. kg v. 160°C),Festmåltidet. Helstegt højreb (ofte med ben). Giver en fantastisk præsentation og duft.,/højreb.jpg,hoejreb,6
Tyndsteg,210,4,55-57°C (45-50 min v. 160°C),Mager men mør. Perfekt til klassiske bøffer.,/tynd.jpg,,
Nyretapper,160,2,52-54°C (4 min pr. side - høj varme),Grov struktur og ekstremt kraftig kødsmag.,/nyretap.jpg,,
Tyksteg,145,4,55-57°C (50-60 min v. 160°C),Reelt kød uden spild. God til både steg og bøf.,/tyk.jpg,,
Flap Meat,160,4,54-55°C (5-6 min pr. side),"Minder om flanksteak, men mere mør og saftig.",/flap.jpg,,
Culotte,160,4,56-58°C (35-45 min v. 160°C),Klassisk feststeg med god fedtkappe.,/culotte.jpg,,
Inderlår,125,4,60°C (Lynstegning/Bankekød),Magert og fint. Ideelt til schnitzler.,/inder.jpg,,
Flank Steak,140,4,54-55°C (8-10 min totalt),Hurtig tilberedning. Perfekt til marinering.,/flank.jpg,,
Klump,145,4,75-80°C (2-3 timer simre),Perfekt til tern (gullasch) eller mager steg.,/klump.jpg,,
Cuvette,155,4,56-58°C (Langtid v. 130°C),Billigere alternativ til culotte. God smag.,/cuv.jpg,,
Lårtunge,135,4,55°C (Rosa) eller sprængt/kogt,Koens mest regulære stykke. Godt til pålæg.,/lår.jpg,,
Yderlår,120,4,75-80°C (3 timer simre),Grov tekstur. Holder formen ved lang tilberedning.,/yderlår.jpg,,
Tykkam,105,4,90°C+ (4-6 timer simre),Masser af smag. Bedste stykke til simreretter.,/tykkam.jpg,,
Mellemskært,120,8,80°C+ (2-3 timer simre),God balance mellem kød og sener til gryderet.,/mellemskært.jpg,,
Tyndbov,105,2,"75-80°C (2,5 timer simre)","Klassisk ""gammeldags oksesteg"".",/tyndbov.jpg,,
Tykbov,110,2,"75-80°C (2,5 timer simre)",Mere regulær end tyndboven. God til bankekød.,/tykbov.jpg,,
Spidsbryst,95,4,90°C+ (3-4 timer koge/simre),Ideelt til sprængning og BBQ (Brisket).,/spids.jpg,,
Tykbryst,105,4,90°C+ (3-4 timer koge),Fedtrigt og smagfuldt. Verdens bedste suppekød.,/tykbryst.jpg,,
Tyndbryst,95,4,90°C+ (3-5 timer simre),Billig udskæring med meget bindevæv (smag).,/tyndbryst.jpg,,
Halsstykke,110,2,90°C+ (5-7 timer - Low & Slow),Meget fedtmarmoreret. Fantastisk til rillette.,/hals1.jpg,,
Tværreb,95,4,90°C+ (4-5 timer braisering),"""Short ribs"". Ekstrem smag tæt på benet.",/tvær.jpg,,
Bagskank,95,4,80°C+ (3 timer simre),Osso Buco. Kraftig smag og marv til saucen.,/bagskank.jpg,,
Forskank,95,4,80°C+ (3 timer simre),"Lidt mindre end bagskank, men samme fordele.",/forskank.jpg,,
Kæbe,150,4,90°C+ (4 timer i rødvin),Bliver smørblødt. Geleagtig og intens sauce.,/kæbe.jpg,,
Fars,95,200,,,/hakket-oxe.jpg,,
